,Metro,Mean Software Developer Salary (adjusted),Mean Software Developer Salary (unadjusted),Mean Unadjusted Salary (all occupations),Number of Software Developer Jobs,Median Home Price,City,Cost of Living avg,Rent avg,Cost of Living Plus Rent avg,Local Purchasing Power avg
0,"Columbus, OH",117552,108500,51260,13430,192000,"Columbus, OH",984.80,1421.50,2856.50,9335.40
1,"Seattle-Tacoma-Bellevue, WA",117323,131167,65400,65760,491600,"Seattle, WA",1250.70,2528.20,4091.50,8971.30
2,"Charlotte-Concord-Gastonia, NC-SC",114122,107046,51000,12800,208500,"Charlotte, NC",989.90,1974.50,3221.10,8939.80
3,"Colorado Springs, CO",112118,111670,51430,5780,296500,"Colorado Springs, CO",1049.20,1594.00,3094.50,8493.10
4,"Dayton, OH",111616,99338,50100,4240,124100,"Dayton, OH",961.20,1072.10,2586.00,4887.70
5,"Greensboro-High Point, NC",111050,99612,44570,1560,136000,"Greensboro, NC",992.90,1445.40,2888.00,5721.90
6,"San Francisco-Oakland-Hayward, CA",111017,142101,72400,59550,946700,"San Francisco, CA",1326.90,4163.30,5290.70,8216.70
7,"San Francisco-Oakland-Hayward, CA",111017,142101,72400,59550,946700,"Oakland, CA",1313.00,3371.10,4754.90,6894.30
8,"San Antonio-New Braunfels, TX",110898,104688,46650,5410,194100,"San Antonio, TX",884.30,1469.50,2688.90,8494.90
9,"Dallas-Fort Worth-Arlington, TX",110891,111113,52590,46130,243900,"Fort Worth, TX",995.00,1551.70,2960.00,6949.20
10,"Dallas-Fort Worth-Arlington, TX",110891,111113,52590,46130,243900,"Dallas, TX",958.70,1926.50,3128.60,10530.60
11,"Durham-Chapel Hill, NC",110313,105018,59940,6800,243700,"Durham, NC",994.30,1616.20,2999.90,6464.20
12,"Atlanta-Sandy Springs-Roswell, GA",109849,106334,52750,38110,219600,"Atlanta, GA",1082.30,1865.40,3334.00,8063.00
13,"Cincinnati, OH-KY-IN",109013,98112,50030,8620,169900,"Cincinnati, OH",909.80,58597.60,2775.10,7723.60
14,"Austin-Round Rock, TX",108990,109535,53810,21160,311300,"Austin, TX",939.60,2214.90,3275.70,9762.40
15,"Raleigh, NC",107676,103584,52580,12560,267200,"Raleigh, NC",963.60,1589.40,2922.20,8892.90
16,"Houston-The Woodlands-Sugar Land, TX",107672,109503,54290,20400,205600,"Houston, TX",903.40,1665.80,2852.30,10673.70
17,"Baltimore-Columbia-Towson, MD",107282,115006,57740,16200,267800,"Baltimore, MD",1039.30,1600.50,3078.70,8399.90
18,"Las Vegas-Henderson-Paradise, NV",107175,104495,45600,3900,279900,"Las Vegas, NV",965.60,1467.20,2848.10,7702.60
19,"Tucson, AZ",107170,101919,47610,4480,206200,"Tucson, AZ",909.10,1062.10,130097.80,5164.10
20,"Salt Lake City, UT",106291,105334,50920,9600,366000,"Salt Lake City, UT",917.70,1625.80,2854.90,8676.40
21,"Richmond, VA",105258,101153,51330,6390,229600,"Richmond, VA",957.30,1440.70,2814.50,8079.70
22,"Lexington-Fayette, KY",105248,95986,44900,1140,178400,"Lexington, KY",889.00,1124.00,130097.80,6318.60
23,"Denver-Aurora-Lakewood, CO",105197,111824,59440,26750,407900,"Denver, CO",1062.00,2125.80,3460.60,8020.40
24,"San Jose-Sunnyvale-Santa Clara, CA",104964,137397,80480,78730,1193600,"Santa Clara, CA",1263.30,3470.90,4720.80,9589.60
25,"San Jose-Sunnyvale-Santa Clara, CA",104964,137397,80480,78730,1193600,"San Jose, CA",1041.50,3160.30,4083.60,9711.80
26,"Portland-Vancouver-Hillsboro, OR-WA",104335,106108,56160,15420,397400,"Portland, OR",1085.50,2031.70,3446.90,6669.70
27,"Portland-Vancouver-Hillsboro, OR-WA",104335,106108,56160,15420,397400,"Vancouver, WA",968.80,1669.20,2983.60,7780.40
28,"Wichita, KS",103690,92595,44500,1220,132900,"Wichita, KS",832.50,931.60,2241.40,7357.70
29,"Phoenix-Mesa-Scottsdale, AZ",103177,100804,50520,20440,266600,"Phoenix, AZ",980.10,1683.80,3015.10,8388.20
30,"Phoenix-Mesa-Scottsdale, AZ",103177,100804,50520,20440,266600,"Mesa, AZ",899.50,1266.80,2588.60,6381.50
31,"Santa Maria-Santa Barbara, CA",102781,112648,54890,2060,602600,"Santa Barbara, CA",1342.40,3011.30,4582.10,5791.60
32,"Los Angeles-Long Beach-Anaheim, CA",102188,119662,57890,53190,649500,"Los Angeles, CA",15809.20,2860.00,4043.70,7782.20
33,"Los Angeles-Long Beach-Anaheim, CA",102188,119662,57890,53190,649500,"Long Beach, CA",987.20,2194.10,3356.60,6789.40
34,"Boston-Cambridge, MA",102171,114227,67370,54140,465000,"Boston, MA",1207.60,3005.10,4312.10,7140.50
35,"Orlando-Kissimmee-Sanford, FL",102093,100358,44930,11050,238900,"Orlando, FL",962.20,1761.40,3029.90,7609.50
36,"Tampa-St. Petersburg-Clearwater, FL",101733,100614,47750,12160,213800,"Tampa, FL",1071.40,1780.60,3257.80,6064.40
37,"Birmingham-Hoover, AL",101598,90219,47480,2310,146000,"Birmingham, AL",1113.70,1082.50,2893.80,5240.60
38,"Syracuse, NY",101256,98320,51400,2140,135000,"Syracuse, NY",1024.80,1201.90,2794.50,4840.10
39,"Washington-Arlington-Alexandria, DC-VA-MD-WV",101188,119806,70980,63760,407700,"Washington, DC",1183.20,2821.20,4146.10,7517.50
40,"Sacramento--Roseville--Arden-Arcade, CA",100785,102801,56430,9980,411500,"Sacramento, CA",1100.40,1941.10,3418.00,6258.70
41,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",99955,105352,56170,26370,232800,"Philadelphia, PA",15809.20,1903.50,3430.60,7133.70
42,"Des Moines-West Des Moines, IA",99878,93386,52220,4060,188800,"Des Moines, IA",979.60,1153.10,2674.20,6685.70
43,"Omaha-Council Bluffs, NE-IA",99826,92339,48690,5220,177200,"Omaha, NE",1064.10,1160.00,2845.50,6542.60
44,"Minneapolis-St. Paul-Bloomington, MN-WI",99228,101411,57420,22750,270700,"Minneapolis, MN",1117.30,1806.70,3365.50,7076.30
45,"Chicago-Naperville-Elgin, IL-IN-WI",98726,102082,55670,42090,225900,"Chicago, IL",1088.80,2198.40,3559.90,8346.20
46,"Nashville-Davidson--Murfreesboro--Franklin, TN",98623,93987,48370,5290,255300,"Nashville, TN",1040.20,2054.40,3371.80,6877.70
47,"Oklahoma City, OK",98617,90135,47120,3640,146700,"Oklahoma City, OK",917.60,1222.30,2596.00,7895.20
48,"Detroit-Warren-Dearborn, MI",98156,94033,53690,28450,162200,"Detroit, MI",998.70,1407.30,2874.90,6790.60
49,"San Diego-Carlsbad, CA",97974,113650,58090,19130,590700,"San Diego, CA",1066.30,2640.70,3799.40,7894.60
50,"Pittsburgh, PA",97043,91220,50070,11060,143200,"Pittsburgh, PA",1163.70,1503.00,3262.00,7126.90
51,"New York-Newark-Jersey City, NY-NJ-PA",96686,118247,64550,98650,442500,"New York, NY",1412.90,3840.00,5252.90,6170.50
52,"New York-Newark-Jersey City, NY-NJ-PA",96686,118247,64550,98650,442500,"Jersey City, NJ",1141.50,2419.20,3805.70,9619.20
53,"Milwaukee-Waukesha-West Allis, WI",96580,92234,51040,6710,232300,"Milwaukee, WI",1011.10,58597.60,2975.80,6737.60
54,"Indianapolis-Carmel-Anderson, IN",96448,88732,49380,8470,166800,"Indianapolis, IN",948.60,1387.00,2763.00,7499.00
55,"Fort Collins, CO",95969,98176,51050,1190,383600,"Fort Collins, CO",1027.90,1654.60,3090.80,6191.50
56,"Charleston-North Charleston, SC",95609,91976,46200,2000,255100,"Charleston, SC",1091.60,1866.60,3352.90,7482.40
57,"Kansas City, MO-KS",95308,88732,50200,12480,192900,"Kansas City, MO",933.50,1286.40,2668.50,7848.90
58,"Tulsa, OK",95187,86049,46170,1770,138200,"Tulsa, OK",881.00,1110.50,2452.00,8148.20
59,"Rochester, NY",94819,93112,50830,4950,146600,"Rochester, NY",1011.20,1118.60,2714.70,6177.90
60,"Louisville/Jefferson County, KY-IN",94320,85737,45740,4950,162300,"Louisville, KY",956.70,1238.00,2683.70,6766.00
61,"Albany-Schenectady-Troy, NY",94051,94615,54400,2980,217600,"Albany, NY",1010.10,1332.50,2849.20,8006.20
62,"Buffalo-Cheektowaga-Niagara Falls, NY",93735,88955,49420,3170,159300,"Buffalo, NY",1049.70,1135.10,2800.80,7673.60
63,"Little Rock-North Little Rock-Conway, AR",93194,84434,45020,1810,140600,"Little Rock, AR",837.30,983.00,2283.90,8087.70
64,"Boise City, ID",93112,87712,45470,2390,287300,"Boise, ID",964.90,1662.30,2971.50,5098.70
65,"Ann Arbor, MI",92683,94258,55130,2650,290500,"Ann Arbor, MI",993.00,1842.00,3142.30,9872.20
66,"Akron, OH",92207,83355,48910,2590,141900,"Akron, OH",878.80,879.30,2299.70,6348.80
67,"Jacksonville, FL",91568,87355,46920,4530,214100,"Jacksonville, FL",982.10,1358.20,2810.80,8904.00
68,"Albuquerque, NM",91010,87097,46860,1770,199500,"Albuquerque, NM",896.40,1302.10,2605.40,7555.20
69,"Spokane-Spokane Valley, WA",90269,85575,49200,1120,243200,"Spokane, WA",962.30,1347.40,2764.60,6933.20
70,"Madison, WI",90238,87350,52890,8770,257700,"Madison, WI",951.20,1488.00,2832.90,8153.10
71,"Memphis, TN-MS-AR",89921,81918,44610,1590,139900,"Memphis, TN",880.10,1340.50,2597.50,6784.50
72,"Cleveland-Elyria, OH",89040,80314,50470,8220,146500,"Cleveland, OH",1065.50,1355.10,2973.10,7732.90
73,"Miami-Fort Lauderdale-West Palm Beach, FL",88249,95662,48240,13740,283400,"Miami, FL",1102.10,2494.40,3775.80,5782.40
74,"Miami-Fort Lauderdale-West Palm Beach, FL",88249,95662,48240,13740,283400,"Fort Lauderdale, FL",1086.00,2171.90,3537.80,6252.00
75,"Eugene, OR",85912,84021,47320,1220,293900,"Eugene, OR",984.00,1448.00,2871.70,5443.00
76,"Urban Honolulu, HI",72811,90796,54870,1590,678200,"Honolulu, HI",1464.50,2498.70,4494.40,5506.60
